user_id,movie_id,rating,timestamp,user_encoded,movie_encoded
807,1411,1,893082619,806,1410
474,659,5,887925187,473,658
463,268,4,877384940,462,267
139,286,4,879537844,138,285
621,751,4,883799651,620,750
264,137,3,886122892,263,136
262,219,3,879794206,261,218
7,300,4,891350703,6,299
653,393,2,880152426,652,392
235,198,3,889655044,234,197
338,189,4,879438449,337,188
592,307,4,882607528,591,306
405,1478,1,885546636,404,1477
394,176,5,881130008,393,175
325,1411,4,891478981,324,1410
74,272,5,888333194,73,271
727,474,3,883710910,726,473
457,458,3,882393765,456,457
880,793,4,880174677,879,792
573,492,4,885843964,572,491
178,11,5,882826162,177,10
405,994,1,885549746,404,993
299,474,5,877880474,298,473
919,815,2,875289533,918,814
218,1073,5,881288265,217,1072
15,111,4,879455914,14,110
749,238,3,878847863,748,237
610,275,4,888703453,609,274
343,135,5,876404568,342,134
478,137,4,889398260,477,136
870,1267,2,879270213,869,1266
938,151,4,891356679,937,150
2,300,4,888979197,1,299
932,514,5,891249932,931,513
191,332,2,891562090,190,331
680,25,4,876816310,679,24
689,151,3,876676501,688,150
767,187,4,891462658,766,186
262,278,3,879790741,261,277
241,310,4,887249576,240,309
363,370,3,891500269,362,369
692,476,3,876953279,691,475
6,498,4,883601053,5,497
215,134,4,891435266,214,133
58,50,4,884304328,57,49
580,222,3,884125292,579,221
181,1296,1,878962006,180,1295
454,492,3,888266643,453,491
643,674,3,891449901,642,673
693,218,4,875483473,692,217
838,72,4,887067162,837,71
99,409,2,885679411,98,408
488,200,2,891294606,487,199
7,268,3,891350703,6,267
697,1067,5,882622170,696,1066
772,315,5,889028363,771,314
42,409,3,881106270,41,408
561,217,3,885810858,560,216
247,1022,4,893097024,246,1021
108,471,2,879880076,107,470
487,282,4,883442105,486,281
568,494,4,877907835,567,493
178,1016,4,882824253,177,1015
308,193,3,887737837,307,192
397,178,5,885349759,396,177
158,510,3,880134296,157,509
806,47,4,882387563,805,46
712,232,3,874956903,711,231
693,210,3,875484044,692,209
610,606,5,888703343,609,605
604,443,3,883668352,603,442
470,221,4,879178370,469,220
584,114,4,885778238,583,113
312,1172,5,891699538,311,1171
820,264,3,887955180,819,263
455,508,4,882141385,454,507
316,323,1,880853152,315,322
868,726,2,877109926,867,725
152,944,4,882476632,151,943
450,612,4,882396564,449,611
809,333,3,891036903,808,332
320,233,4,884749281,319,232
896,225,1,887161518,895,224
379,621,4,880525815,378,620
486,883,3,879874388,485,882
561,234,3,885808824,560,233
235,483,5,889655204,234,482
393,154,2,887746302,392,153
637,408,5,882901355,636,407
254,15,3,886471307,253,14
869,282,3,884490987,868,281
427,680,5,879701326,426,679
264,1009,4,886124417,263,1008
918,433,2,891987082,917,432
158,229,3,880134532,157,228
766,435,3,891309053,765,434
287,941,3,875335424,286,940
917,248,4,882912385,916,247
276,943,4,883822485,275,942
387,52,5,886483497,386,51
450,616,4,882373597,449,615
268,151,3,875742470,267,150
357,841,3,878951918,356,840
334,347,3,891547445,333,346
425,27,3,878738695,424,26
845,896,3,885409374,844,895
943,318,3,888639093,942,317
554,276,3,876548886,553,275
293,507,4,888905665,292,506
292,56,5,881105373,291,55
608,655,5,880405395,607,654
254,649,1,886474619,253,648
881,521,4,876537870,880,520
406,482,5,879446588,405,481
691,79,5,875543025,690,78
60,207,3,883327342,59,206
881,88,3,876538595,880,87
332,684,5,888360370,331,683
568,1203,5,877907281,567,1202
70,161,3,884067638,69,160
7,391,3,892132943,6,390
487,820,3,883444884,486,819
632,679,4,879459321,631,678
916,195,3,880844920,915,194
886,1217,4,876033602,885,1216
664,732,3,876525315,663,731
234,40,2,892335894,233,39
144,194,5,888105287,143,193
933,168,3,874853869,932,167
606,138,3,880927923,605,137
560,321,3,879975151,559,320
303,514,5,879466667,302,513
314,1152,4,877887469,313,1151
500,133,3,883875681,499,132
433,474,3,880585759,432,473
